2022-01-01 00:00:00 -> 2022-01-22 00:00:00 | Max open trades : 5
2022-01-26T16:30:39.120851765Z ================================================================================= STRATEGY SUMMARY ================================================================================
2022-01-26T16:30:39.120855442Z |                    Strategy |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |             Drawdown |
2022-01-26T16:30:39.121145159Z |         DoesNothingStrategy |      0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |     0     0     0     0 |   0.000 USDT   0.00% |
2022-01-26T16:30:39.121148785Z |                 Divergences |   2451 |          -0.25 |        -617.05 |          -708.326 |         -70.83 |          0:30:00 |   681     0  1770  27.8 | 707.619 USDT  70.83% |
2022-01-26T16:30:39.121152408Z |                   JustROCR5 |     44 |          -0.15 |          -6.50 |           -13.220 |          -1.32 |          0:00:00 |     7     0    37  15.9 |  29.329 USDT   2.89% |
2022-01-26T16:30:39.121156038Z |  Obelisk_TradePro_Ichi_v1_1 |   1301 |          -0.23 |        -302.42 |          -456.180 |         -45.62 |          1:26:00 |   299     0  1002  23.0 | 520.624 USDT  48.91% |
2022-01-26T16:30:39.121159655Z |                   BreakEven |      0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |     0     0     0     0 |   0.000 USDT   0.00% |
2022-01-26T16:30:39.121167264Z |                         wtc |     38 |          -5.29 |        -200.88 |          -347.339 |         -34.73 | 2 days, 17:15:00 |    13     0    25  34.2 | 400.569 USDT  38.03% |
2022-01-26T16:30:39.121170988Z |      CustomStoplossWithPSAR |     12 |         -14.57 |        -174.87 |          -314.323 |         -31.43 | 8 days, 17:55:00 |     1     0    11   8.3 | 274.367 USDT  28.58% |
2022-01-26T16:30:39.121174620Z |  Obelisk_Ichimoku_Slow_v1_3 |    216 |          -0.78 |        -167.42 |          -294.349 |         -29.43 |          7:15:00 |    92    55    69  42.6 | 378.415 USDT  35.33% |
2022-01-26T16:30:39.121178234Z |   Obelisk_3EMA_StochRSI_ATR |     97 |          -1.32 |        -128.31 |          -236.718 |         -23.67 |         20:36:00 |    46     0    51  47.4 | 290.209 USDT  27.58% |
2022-01-26T16:30:39.121181868Z |       CombinedBinHAndClucV4 |    100 |          -0.86 |         -85.76 |          -164.000 |         -16.40 |          4:14:00 |    54     0    46  54.0 | 189.765 USDT  18.50% |
2022-01-26T16:30:39.121185538Z |         CombinedBinHAndCluc |    129 |          -0.64 |         -82.29 |          -158.347 |         -15.83 |          1:58:00 |    90     0    39  69.8 | 190.293 USDT  18.76% |
2022-01-26T16:30:39.121189163Z |                    Ichimoku |    125 |          -0.97 |        -121.42 |          -232.588 |         -23.26 |         19:19:00 |    93     0    32  74.4 | 325.851 USDT  29.81% |
2022-01-26T16:30:39.121192787Z |      NostalgiaForInfinityV7 |     25 |          -1.92 |         -47.91 |           -94.068 |          -9.41 |         13:27:00 |    13     0    12  52.0 |  95.043 USDT   9.53% |
2022-01-26T16:30:39.121196399Z |                    TheForce |   4142 |           0.04 |         148.18 |           328.552 |          32.86 |          0:28:00 |  1858     0  2284  44.9 | 270.847 USDT  17.06% |
2022-01-26T16:30:39.121200139Z |                 CCIStrategy |     78 |          -1.27 |         -99.33 |          -179.198 |         -17.92 |         12:27:00 |     7     0    71   9.0 | 192.444 USDT  18.99% |
2022-01-26T16:30:39.121203782Z |                 BigZ04_TSL3 |     74 |          -1.27 |         -93.66 |          -176.494 |         -17.65 |          9:39:00 |    49     0    25  66.2 | 196.346 USDT  19.29% |
2022-01-26T16:30:39.121207410Z |     Strategy001_custom_sell |    199 |          -1.14 |        -227.35 |          -375.164 |         -37.52 |         11:57:00 |   163     0    36  81.9 | 429.860 USDT  40.76% |
2022-01-26T16:30:39.121211254Z |                      Deneme |      0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |     0     0     0     0 |   0.000 USDT   0.00% |
2022-01-26T16:30:39.121214931Z |        MACDStrategy_crossed |     79 |          -1.43 |        -112.69 |          -227.721 |         -22.77 |   1 day, 5:43:00 |    70     0     9  88.6 | 309.601 USDT  28.62% |
2022-01-26T16:30:39.121218565Z |                   EMAVolume |    849 |          -0.54 |        -460.62 |          -602.109 |         -60.21 |          2:20:00 |   163     0   686  19.2 | 623.916 USDT  61.06% |
2022-01-26T16:30:39.121222214Z |       CombinedBinHAndClucV5 |    101 |          -0.98 |         -98.91 |          -185.323 |         -18.53 |          3:39:00 |    59     0    42  58.4 | 209.334 USDT  20.44% |
2022-01-26T16:30:39.121287142Z |         FixedRiskRewardLoss |    642 |          -0.47 |        -301.88 |          -452.417 |         -45.24 |          3:51:00 |    90     0   552  14.0 | 468.353 USDT  46.42% |
2022-01-26T16:30:39.121291453Z |                   JustROCR4 |      4 |         -15.17 |         -60.68 |          -115.800 |         -11.58 |         21:10:00 |     0     0     4     0 |  85.733 USDT   8.84% |
2022-01-26T16:30:39.121295079Z |   UltimateMomentumIndicator |     47 |          -3.49 |        -164.08 |          -307.631 |         -30.76 |  2 days, 5:08:00 |    19     0    28  40.4 | 351.437 USDT  33.67% |
2022-01-26T16:30:39.121298712Z |       NostalgiaForInfinityX |      9 |         -11.10 |         -99.86 |          -199.266 |         -19.93 | 5 days, 15:56:00 |     5     0     4  55.6 | 209.323 USDT  20.72% |
2022-01-26T16:30:39.121302345Z |                 SmoothScalp |    372 |          -0.56 |        -209.11 |          -351.120 |         -35.11 |          2:54:00 |   215     0   157  57.8 | 397.274 USDT  37.97% |
2022-01-26T16:30:39.121306033Z |                  GodStraNew |     32 |          -0.68 |         -21.77 |           -73.407 |          -7.34 | 2 days, 18:05:00 |    14     2    16  43.8 | 291.152 USDT  23.91% |
2022-01-26T16:30:39.121309650Z |                     NASOSv4 |     81 |           0.03 |           2.74 |            -1.144 |          -0.11 |          9:45:00 |    71     0    10  87.7 |  92.980 USDT   8.54% |
2022-01-26T16:30:39.121313494Z |                ClucMay72018 |     96 |          -0.16 |         -15.23 |           -31.805 |          -3.18 |          0:31:00 |    70     0    26  72.9 |  41.812 USDT   4.14% |
2022-01-26T16:30:39.121317159Z |                   JustROCR2 |     17 |          -0.30 |          -5.15 |           -10.279 |          -1.03 |          0:00:00 |     2     0    15  11.8 |  17.483 USDT   1.74% |
2022-01-26T16:30:39.121320808Z |              SmoothOperator |    239 |          -0.65 |        -154.51 |          -278.261 |         -27.83 |          8:44:00 |   129     0   110  54.0 | 326.686 USDT  31.46% |
2022-01-26T16:30:39.121324426Z |    NostalgiaForInfinityNext |      9 |         -16.70 |        -150.28 |          -302.602 |         -30.26 | 8 days, 14:37:00 |     4     0     5  44.4 | 321.925 USDT  31.58% |
2022-01-26T16:30:39.121328053Z |     CombinedBinHAndCluc2021 |    115 |          -0.49 |         -56.65 |          -111.148 |         -11.11 |          1:29:00 |    58     5    52  50.4 | 122.013 USDT  12.07% |
2022-01-26T16:30:39.121331699Z |      BBRSIOptimizedStrategy |    396 |          -0.49 |        -195.31 |          -340.802 |         -34.08 |          5:12:00 |   197    80   119  49.7 | 382.416 USDT  36.71% |
2022-01-26T16:30:39.121335325Z |            QuickBuyStrategy |    577 |          -0.47 |        -270.54 |          -436.197 |         -43.62 |          4:16:00 |   216   316    45  37.4 | 479.426 USDT  45.96% |
2022-01-26T16:30:39.121338956Z |                    MACD_EMA |    742 |          -0.31 |        -231.72 |          -378.113 |         -37.81 |          2:50:00 |   362     0   380  48.8 | 428.691 USDT  40.81% |
2022-01-26T16:30:39.121342573Z |           TheRealPullbackV2 |     85 |          -0.25 |         -21.37 |           -46.031 |          -4.60 |          1:23:00 |    46     0    39  54.1 | 100.221 USDT   9.91% |
2022-01-26T16:30:39.121346211Z |             AverageStrategy |   1524 |          -0.41 |        -631.38 |          -716.266 |         -71.63 |          1:22:00 |   305     0  1219  20.0 | 718.294 USDT  71.71% |
2022-01-26T16:30:39.121376391Z |              SuperTrendPure |   1646 |          -0.42 |        -686.91 |          -746.951 |         -74.70 |          1:19:00 |   399     0  1247  24.2 | 771.902 USDT  75.31% |
2022-01-26T16:30:39.121382422Z |                     Saturn5 |     39 |          -2.29 |         -89.22 |          -177.498 |         -17.75 | 2 days, 16:23:00 |    26     0    13  66.7 | 247.683 USDT  23.14% |
2022-01-26T16:30:39.121386250Z |                  BB_RPB_TSL |     44 |           0.87 |          38.25 |            78.241 |           7.82 |          2:16:00 |    38     0     6  86.4 |  35.710 USDT   3.21% |
2022-01-26T16:30:39.121389873Z |                     Chispei |   1922 |          -0.32 |        -617.54 |          -710.462 |         -71.05 |          1:10:00 |   510     0  1412  26.5 | 759.756 USDT  72.43% |
2022-01-26T16:30:39.121393459Z |                    BbandRsi |    152 |          -1.19 |        -180.60 |          -325.512 |         -32.55 |         14:34:00 |    86     0    66  56.6 | 378.368 USDT  35.94% |
2022-01-26T16:30:39.121397080Z |                 SMAOffsetV2 |     56 |          -0.00 |          -0.03 |            -3.085 |          -0.31 |          1:44:00 |    33     0    23  58.9 |  51.568 USDT   5.02% |
2022-01-26T16:30:39.121400680Z |       ReinforcedSmoothScalp |    271 |          -0.25 |         -66.82 |          -130.519 |         -13.05 |          2:16:00 |   164     0   107  60.5 | 181.023 USDT  17.23% |
2022-01-26T16:30:39.121404336Z |                 NFIX_BB_RPB |     14 |          -2.34 |         -32.76 |           -68.461 |          -6.85 |  2 days, 9:54:00 |    11     0     3  78.6 | 121.824 USDT  11.57% |
2022-01-26T16:30:39.121407939Z |                      Low_BB |     30 |          -0.66 |         -19.69 |           -39.034 |          -3.90 |         11:14:00 |     5     0    25  16.7 |  40.939 USDT   4.09% |
2022-01-26T16:30:39.121411531Z |                 Strategy002 |     97 |          -1.66 |        -161.50 |          -287.977 |         -28.80 |         13:53:00 |    74     0    23  76.3 | 323.219 USDT  31.22% |
2022-01-26T16:30:39.121415119Z |               NfiNextModded |    194 |          -0.96 |        -185.33 |          -323.209 |         -32.32 |          8:59:00 |   159     0    35  82.0 | 345.911 USDT  33.82% |
2022-01-26T16:30:39.121418727Z |       FrostAuraM11hStrategy |     19 |          -9.16 |        -173.98 |          -350.784 |         -35.08 | 5 days, 12:21:00 |    10     2     7  52.6 | 406.426 USDT  38.50% |
2022-01-26T16:30:39.121422354Z |                MACD_TRI_EMA |   2454 |          -0.30 |        -747.07 |          -775.575 |         -77.56 |          0:48:00 |   559    18  1877  22.8 | 778.806 USDT  77.63% |
2022-01-26T16:30:39.121426328Z |                GodStraNew40 |      5 |          -2.71 |         -13.57 |           -26.897 |          -2.69 | 16 days, 2:59:00 |     1     0     4  20.0 |  17.678 USDT   1.78% |
2022-01-26T16:30:39.121429959Z |               BB_Strategy04 |    190 |          -1.09 |        -206.60 |          -364.224 |         -36.42 |         11:44:00 |   110     0    80  57.9 | 405.329 USDT  38.93% |
2022-01-26T16:30:39.121433573Z |      FrostAuraM115mStrategy |   1095 |          -0.30 |        -323.57 |          -488.005 |         -48.80 |          1:53:00 |   640     0   455  58.4 | 524.412 USDT  50.60% |
2022-01-26T16:30:39.121441505Z |              AlligatorStrat |   2708 |          -0.30 |        -823.91 |          -806.615 |         -80.66 |          0:46:00 |   576     0  2132  21.3 | 814.274 USDT  80.95% |
2022-01-26T16:30:39.121445242Z |                   JustROCR6 |     17 |          -0.42 |          -7.18 |           -14.257 |          -1.43 |          0:00:00 |     2     0    15  11.8 |  16.538 USDT   1.65% |
